,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
11728,Kenny Young,"6' 1""",10%,234 lbs,18%,4.60 sec,80%,4.48 sec,13%,7.38 sec,17%,36.0 in,70%,117 in,55%,NaN,NaN,9.50 in,40%,32.38 in,43%
11729,Chucky Williams,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11730,Jake Wieneke,"6' 4""",90%,221 lbs,89%,4.67 sec,7%,4.37 sec,20%,7.24 sec,6%,34.0 in,35%,114 in,10%,9 reps,8%,9.88 in,85%,33.00 in,70%
11731,David Wells,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11732,Andrew Vollert,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11733,Salesi Uhatafe,"6' 5""",70%,315 lbs,55%,5.39 sec,33%,NaN,NaN,NaN,NaN,28.0 in,65%,NaN,NaN,NaN,NaN,10.25 in,80%,33.00 in,30%
11734,Shane Tripucka,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11735,Brett Toth,"6' 6""",60%,291 lbs,0%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.25 in,60%,33.38 in,18%
11736,Jordan Thomas,"6' 5""",60%,277 lbs,96%,4.74 sec,53%,4.75 sec,3%,7.50 sec,0%,27.0 in,7%,111 in,25%,16 reps,10%,11.00 in,100%,34.13 in,83%
11737,Nick Stevens,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11738,Linden Stephens,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11739,Nic Shimonek,"6' 2""",30%,218 lbs,30%,4.88 sec,36%,4.32 sec,57%,7.28 sec,15%,28.5 in,20%,101 in,9%,NaN,NaN,9.25 in,20%,30.75 in,10%
11740,Coleman Shelton,"6' 5""",90%,299 lbs,20%,5.21 sec,58%,NaN,NaN,NaN,NaN,26.5 in,35%,NaN,NaN,NaN,NaN,8.50 in,0%,31.50 in,12%
11741,Greg Senat,"6' 6""",60%,305 lbs,18%,5.38 sec,31%,NaN,NaN,NaN,NaN,26.0 in,30%,106 in,65%,19 reps,10%,9.88 in,35%,34.88 in,68%
11742,Drew Scott,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11743,Tegray Scales,"6' 0""",7%,227 lbs,8%,4.77 sec,33%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27 reps,80%,8.68 in,4%,30.75 in,9%
11744,Ja'Von Rolland-Jones,"6' 1""",10%,245 lbs,70%,4.88 sec,13%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23 reps,50%,10.13 in,85%,32.75 in,53%
11745,Cole Reyes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11746,Malik Reaves,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11747,Joe Ostman,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11748,Jacob Ohnesorge,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11749,Cody O'Connell,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11750,Bilal Nichols,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11751,Matt McCrane,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11752,Blake Mack,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11753,James Looney,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11754,Phillip Lindsay,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11755,Justin Lawler,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11756,Joel Lanning,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11757,Afolabi Laguda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11758,Mark Korte,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11759,Josh Kalu,"6' 0""",35%,203 lbs,23%,4.58 sec,45%,NaN,NaN,NaN,NaN,41.5 in,93%,134 in,100%,17 reps,50%,NaN,NaN,NaN,NaN
11760,Alec James,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11761,Natrell Jamerson,"5' 11""",50%,200 lbs,82%,4.40 sec,80%,NaN,NaN,NaN,NaN,35.5 in,50%,120 in,40%,25 reps,97%,NaN,NaN,NaN,NaN
11762,Leon Jacobs,"6' 2""",50%,245 lbs,70%,4.48 sec,94%,4.44 sec,18%,7.14 sec,52%,34.5 in,57%,122 in,83%,26 reps,75%,9.68 in,54%,33.50 in,90%
11763,Justin Jackson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11764,Godwin Igwebuike,"6' 0""",35%,212 lbs,65%,4.44 sec,88%,4.12 sec,77%,6.56 sec,100%,35.5 in,50%,128 in,91%,19 reps,70%,NaN,NaN,NaN,NaN
11765,Davontae Harris,"5' 11""",50%,200 lbs,82%,4.43 sec,70%,4.40 sec,9%,6.96 sec,23%,32.5 in,13%,123 in,60%,22 reps,93%,NaN,NaN,NaN,NaN
11766,Heath Harding,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11767,P.J. Hall,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11768,Marcell Frazier,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11769,Steven Dunbar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11770,Dane Cruikshank,"6' 1""",40%,209 lbs,47%,4.41 sec,92%,4.24 sec,42%,6.89 sec,63%,38.5 in,83%,121 in,60%,25 reps,93%,NaN,NaN,NaN,NaN
11771,Zach Crabtree,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11772,Secdrick Cooper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11773,Jordan Chunn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11774,Jeremiah Briscoe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11775,Devonte Boyd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11776,Bryce Bobo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11777,Jake Bennett,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11778,Jeff Badet,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11779,Jacob Alsadek,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11780,Dejon Allen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11781,Chris Worley,"6' 1""",10%,238 lbs,33%,4.86 sec,20%,NaN,NaN,NaN,NaN,29.5 in,9%,NaN,NaN,15 reps,7%,9.25 in,20%,31.25 in,15%
11782,Ethan Wolf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11783,Ralph Webb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11784,Damon Webb,"5' 11""",20%,198 lbs,12%,4.62 sec,32%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17 reps,50%,NaN,NaN,NaN,NaN
11785,Justin Watson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11786,Tracy Walker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11787,Matthew Thomas,"6' 3""",70%,232 lbs,14%,4.58 sec,83%,4.28 sec,60%,6.85 sec,92%,41.5 in,94%,131 in,97%,NaN,NaN,8.88 in,8%,33.00 in,60%
11788,Chad Thomas,"6' 5""",70%,278 lbs,81%,4.92 sec,26%,NaN,NaN,NaN,NaN,29.0 in,13%,116 in,55%,NaN,NaN,10.25 in,80%,33.50 in,43%
11789,Jamar Summers,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11790,Greg Stroman,"5' 11""",50%,180 lbs,9%,4.48 sec,50%,4.45 sec,8%,NaN,NaN,33.5 in,20%,113 in,8%,16 reps,60%,NaN,NaN,NaN,NaN
11791,Kentavius Street,"6' 2""",20%,287 lbs,9%,4.87 sec,91%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28 reps,50%,10.25 in,70%,32.88 in,34%
11792,Cam Serigne,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11793,Deadrin Senat,"6' 1""",10%,305 lbs,50%,5.16 sec,34%,4.79 sec,19%,7.77 sec,23%,26.0 in,20%,100 in,20%,35 reps,87%,9.75 in,40%,31.67 in,8%
11794,Jacob Pugh,"6' 4""",90%,246 lbs,75%,4.65 sec,67%,NaN,NaN,NaN,NaN,38.5 in,88%,122 in,83%,NaN,NaN,10.13 in,85%,34.38 in,96%
11795,Jamiyus Pittman,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11796,D.J. Palmore,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11797,Deatrick Nichols,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11798,Justin Reed,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11799,Janarion Grant,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11800,Alex Jenkins,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11801,Ben Turk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11802,Anthony Miller,"5' 11""",20%,199 lbs,42%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22 reps,93%,10.68 in,99%,31.67 in,33%
11803,Mike Gesicki,"6' 6""",80%,250 lbs,37%,4.54 sec,89%,4.10 sec,95%,6.76 sec,100%,NaN,NaN,129 in,98%,22 reps,60%,10.13 in,70%,34.00 in,80%
11804,Casey Sayles,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11805,Ja'Whaun Bentley,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11806,Christian Campbell,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11807,Marcus Allen,"6' 2""",80%,215 lbs,77%,NaN,NaN,4.32 sec,25%,NaN,NaN,37.0 in,70%,127 in,90%,15 reps,30%,NaN,NaN,NaN,NaN
11808,Fred Warner,"6' 3""",70%,236 lbs,25%,4.64 sec,70%,4.28 sec,60%,6.90 sec,89%,38.5 in,88%,119 in,70%,21 reps,40%,9.75 in,60%,32.00 in,30%
11809,Luke Falk,"6' 4""",70%,215 lbs,20%,NaN,NaN,NaN,NaN,NaN,NaN,26.5 in,10%,103 in,13%,NaN,NaN,9.25 in,20%,32.00 in,40%
11810,Braxton Berrios,"5' 9""",8%,190 lbs,24%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11 reps,20%,9.25 in,50%,28.00 in,0%
11811,Mike McCray,"6' 1""",10%,241 lbs,45%,4.76 sec,37%,4.25 sec,65%,4.25 sec,100%,31.5 in,25%,119 in,70%,16 reps,9%,9.13 in,15%,32.67 in,51%
11812,Cedrick Wilson,"6' 2""",60%,197 lbs,38%,4.55 sec,33%,4.23 sec,50%,6.89 sec,52%,37.0 in,75%,121 in,60%,9 reps,8%,9.75 in,80%,31.50 in,30%
11813,Darius Phillips,"5' 10""",20%,190 lbs,40%,4.54 sec,28%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11814,Michael Badgley,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11815,Jaleel Scott,"6' 5""",93%,210 lbs,67%,4.56 sec,30%,4.40 sec,16%,7.20 sec,8%,34.5 in,40%,124 in,75%,16 reps,60%,10.50 in,97%,33.50 in,85%
11816,Johnny Townsend,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11817,Isaac Yiadom,"6' 1""",70%,190 lbs,40%,4.52 sec,35%,4.18 sec,44%,NaN,NaN,NaN,NaN,120 in,40%,8 reps,8%,NaN,NaN,NaN,NaN
11818,Jaylen Samuels,"6' 0""",80%,225 lbs,78%,4.54 sec,50%,4.28 sec,42%,6.93 sec,63%,34.5 in,50%,121 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
11819,Michael Joseph,"6' 1""",70%,187 lbs,23%,NaN,NaN,4.20 sec,40%,6.89 sec,37%,34.0 in,30%,NaN,NaN,17 reps,70%,NaN,NaN,NaN,NaN
11820,Armani Watts,"5' 11""",20%,205 lbs,30%,NaN,NaN,4.37 sec,17%,7.25 sec,4%,35.0 in,45%,120 in,50%,13 reps,15%,NaN,NaN,NaN,NaN
11821,Duke Dawson,"5' 10""",20%,198 lbs,75%,4.46 sec,57%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15 reps,50%,NaN,NaN,NaN,NaN
11822,Akrum Wadley,"5' 9""",20%,188 lbs,7%,4.54 sec,50%,NaN,NaN,NaN,NaN,32.0 in,20%,NaN,NaN,12 reps,5%,8.25 in,3%,29.50 in,18%
11823,Taron Johnson,"5' 11""",50%,192 lbs,50%,4.50 sec,43%,4.28 sec,22%,7.03 sec,15%,33.0 in,17%,118 in,30%,17 reps,70%,NaN,NaN,NaN,NaN
11824,Justin Jones,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11825,Kalen Ballage,"6' 2""",93%,231 lbs,90%,NaN,NaN,NaN,NaN,6.91 sec,66%,33.5 in,35%,122 in,80%,15 reps,10%,9.50 in,70%,32.75 in,93%
11826,Kyzir White,"6' 2""",50%,218 lbs,0%,NaN,NaN,NaN,NaN,NaN,NaN,35.5 in,65%,113 in,30%,21 reps,40%,NaN,NaN,NaN,NaN
11827,Ogbonnia Okoronkwo,"6' 2""",50%,253 lbs,91%,4.77 sec,33%,NaN,NaN,NaN,NaN,38.0 in,85%,121 in,80%,27 reps,80%,9.00 in,10%,33.75 in,92%
11828,Dimitri Flowers,"6' 1""",30%,248 lbs,70%,4.83 sec,33%,4.53 sec,24%,7.45 sec,4%,30.5 in,30%,109 in,30%,17 reps,13%,9.25 in,15%,30.75 in,5%
11829,JaMarcus King,"6' 0""",65%,182 lbs,10%,4.70 sec,5%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11830,Trayvon Henderson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11831,Tanner Carew,"6' 1""",0%,245 lbs,0%,5.00 sec,89%,NaN,NaN,NaN,NaN,30.0 in,70%,NaN,NaN,18 reps,6%,9.68 in,61%,31.50 in,12%
11832,Nick DeLuca,"6' 2""",50%,251 lbs,88%,4.85 sec,21%,4.23 sec,68%,7.09 sec,58%,29.5 in,9%,112 in,25%,18 reps,15%,10.25 in,90%,32.75 in,53%
11833,Myles Pierce,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11834,Mason Cole,"6' 5""",90%,292 lbs,8%,5.23 sec,52%,NaN,NaN,NaN,NaN,25.0 in,15%,NaN,NaN,23 reps,25%,9.68 in,61%,32.13 in,25%
11835,Garret Dooley,"6' 2""",50%,227 lbs,8%,4.80 sec,28%,4.28 sec,60%,NaN,NaN,33.0 in,40%,121 in,80%,21 reps,40%,10.25 in,90%,32.50 in,47%
11836,Scott Quessenberry,"6' 3""",30%,310 lbs,80%,5.10 sec,82%,NaN,NaN,NaN,NaN,33.5 in,96%,NaN,NaN,25 reps,35%,9.75 in,63%,31.75 in,16%
11837,Wyatt Teller,"6' 4""",40%,315 lbs,55%,5.24 sec,66%,NaN,NaN,NaN,NaN,29.0 in,75%,NaN,NaN,30 reps,80%,10.25 in,80%,34.00 in,70%
11838,Kemoko Turay,"6' 5""",70%,253 lbs,15%,4.65 sec,87%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.68 in,27%,33.38 in,40%
11839,Tyquan Lewis,"6' 3""",40%,269 lbs,5%,NaN,NaN,NaN,NaN,NaN,NaN,35.5 in,96%,122 in,100%,NaN,NaN,10.38 in,85%,33.00 in,36%
11840,Cole Madison,"6' 5""",70%,308 lbs,30%,5.34 sec,45%,NaN,NaN,NaN,NaN,28.5 in,70%,97 in,35%,26 reps,55%,10.38 in,90%,32.25 in,8%
11841,adfsa asfdada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11842,Tyrell Crosby,"6' 4""",10%,309 lbs,33%,5.23 sec,58%,NaN,NaN,NaN,NaN,30.0 in,80%,105 in,63%,17 reps,8%,10.75 in,85%,35.25 in,75%
11843,Will Hernandez,"6' 2""",10%,327 lbs,82%,5.15 sec,78%,NaN,NaN,NaN,NaN,24.0 in,20%,NaN,NaN,37 reps,93%,9.88 in,50%,32.00 in,4%
11844,Chukwuma Okorafor,"6' 6""",60%,320 lbs,72%,5.31 sec,40%,NaN,NaN,NaN,NaN,23.5 in,10%,102 in,50%,19 reps,10%,10.25 in,60%,34.50 in,60%
11845,Sean Welsh,"6' 3""",20%,296 lbs,4%,5.40 sec,30%,NaN,NaN,NaN,NaN,25.0 in,35%,NaN,NaN,20 reps,10%,10.25 in,80%,32.00 in,4%
11846,Durham Smythe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11847,Troy Fumagalli,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11848,Tyler Conklin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11849,Michael Gallup,"6' 1""",40%,198 lbs,40%,4.51 sec,47%,4.37 sec,20%,6.95 sec,40%,36.0 in,60%,122 in,65%,10 reps,10%,9.25 in,50%,31.50 in,30%
11850,J'Mon Moore,"6' 3""",80%,205 lbs,53%,4.60 sec,15%,4.04 sec,91%,6.56 sec,93%,38.0 in,83%,120 in,50%,21 reps,91%,9.38 in,60%,32.88 in,67%
11851,Jalyn Holmes,"6' 5""",90%,283 lbs,8%,4.82 sec,95%,NaN,NaN,NaN,NaN,32.0 in,80%,NaN,NaN,25 reps,25%,10.00 in,50%,34.00 in,70%
11852,Richard Jarvis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11853,Nathan Shepherd,"6' 4""",60%,315 lbs,77%,5.09 sec,50%,4.53 sec,73%,7.50 sec,49%,31.0 in,73%,112 in,88%,NaN,NaN,10.13 in,65%,32.38 in,23%
11854,B.J. Hill,"6' 3""",20%,311 lbs,100%,4.99 sec,12%,4.53 sec,30%,7.28 sec,32%,26.5 in,5%,101 in,0%,35 reps,92%,10.68 in,94%,33.00 in,20%
11855,Quin Blanding,"6' 2""",80%,207 lbs,40%,4.63 sec,30%,NaN,NaN,NaN,NaN,31.5 in,10%,122 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
11856,Siran Neal,"6' 0""",65%,206 lbs,91%,4.56 sec,24%,4.28 sec,22%,7.00 sec,18%,40.5 in,91%,122 in,55%,17 reps,70%,NaN,NaN,NaN,NaN
11857,Kyle Lauletta,"6' 2""",30%,222 lbs,45%,4.81 sec,53%,4.07 sec,92%,6.95 sec,80%,31.0 in,50%,113 in,70%,NaN,NaN,9.75 in,55%,30.67 in,9%
11858,Kurt Benkert,"6' 4""",70%,215 lbs,20%,4.95 sec,22%,4.33 sec,55%,7.15 sec,36%,31.0 in,50%,112 in,65%,16 reps,20%,9.50 in,40%,31.00 in,15%
11859,DJ Chark,"6' 4""",90%,198 lbs,40%,4.34 sec,92%,NaN,NaN,NaN,NaN,40.0 in,93%,129 in,92%,16 reps,60%,9.25 in,50%,32.38 in,53%
11860,Da'Shawn Hand,"6' 3""",20%,297 lbs,95%,4.83 sec,48%,4.62 sec,23%,7.98 sec,0%,31.5 in,35%,111 in,30%,28 reps,80%,9.75 in,30%,34.38 in,73%
11861,JK Scott,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11862,Kylie Fitts,"6' 4""",90%,260 lbs,94%,4.69 sec,55%,4.19 sec,77%,6.88 sec,91%,32.5 in,35%,117 in,55%,31 reps,92%,9.50 in,40%,33.00 in,60%
11863,Brandon Silvers,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11864,Marcell Ateman,"6' 4""",90%,215 lbs,80%,4.62 sec,10%,4.25 sec,43%,7.07 sec,20%,34.0 in,35%,121 in,60%,13 reps,30%,9.88 in,85%,32.88 in,67%
11865,Mike White,"6' 4""",70%,224 lbs,55%,5.09 sec,9%,4.40 sec,42%,7.40 sec,7%,27.0 in,13%,96 in,5%,NaN,NaN,9.50 in,40%,31.88 in,35%
11866,Jeremy Reaves,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11867,Nick Bawden,"6' 2""",70%,245 lbs,40%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.25 in,15%,30.50 in,4%
11868,Shaquem Griffin,"6' 0""",7%,227 lbs,8%,4.38 sec,100%,NaN,NaN,NaN,NaN,NaN,NaN,117 in,55%,20 reps,30%,9.00 in,10%,32.13 in,35%
11869,Rashaad Penny,"5' 11""",60%,220 lbs,70%,4.46 sec,78%,NaN,NaN,NaN,NaN,32.5 in,25%,120 in,65%,13 reps,7%,9.25 in,50%,31.25 in,73%
11870,Tray Matthews,"6' 1""",40%,213 lbs,70%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22 reps,85%,NaN,NaN,NaN,NaN
11871,Chandon Sullivan,"5' 11""",50%,189 lbs,30%,4.60 sec,16%,4.36 sec,11%,NaN,NaN,40.5 in,91%,134 in,96%,15 reps,50%,NaN,NaN,NaN,NaN
